Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409C,30,30.75,35,46.4,335.2,169.09,0.06,2921000,2920000
409C,30,30.75,35,68.1,374,160.44,0.06,2921000,2920000
409C,30,30.75,35,100,401.21,148.2,0.06,2921000,2920000
410A,50,30.43,15,0.01,0.13558,0.065388,0.06,4755000,4765000
410A,50,30.43,15,0.0147,0.14259,0.03853,0.06,4755000,4765000
410A,50,30.43,15,0.0215,0.13379,0.085016,0.06,4755000,4765000
410A,50,30.43,15,0.0316,0.13323,0.14428,0.06,4755000,4765000
410A,50,30.43,15,0.0464,0.13276,0.21118,0.06,4755000,4765000
410A,50,30.43,15,0.0681,0.15226,0.29747,0.06,4755000,4765000
410A,50,30.43,15,0.1,0.1299,0.42428,0.06,4755000,4765000
410A,50,30.43,15,0.147,0.13324,0.62947,0.06,4755000,4765000
410A,50,30.43,15,0.215,0.16586,0.93573,0.06,4755000,4765000
410A,50,30.43,15,0.316,0.18584,1.3532,0.06,4755000,4765000
410A,50,30.43,15,0.464,0.22036,1.952,0.06,4755000,4765000
410A,50,30.43,15,0.681,0.26151,2.8654,0.06,4755000,4765000
410A,50,30.43,15,1,0.41565,4.1948,0.06,4755000,4765000
410A,50,30.43,15,1.47,0.58099,6.0847,0.06,4755000,4765000
410A,50,30.43,15,2.15,0.96779,8.8004,0.06,4755000,4765000
410A,50,30.43,15,3.16,1.6513,12.659,0.06,4755000,4765000
410A,50,30.43,15,4.64,2.9026,18.133,0.06,4755000,4765000
410A,50,30.43,15,6.81,5.3951,25.578,0.06,4755000,4765000
410A,50,30.43,15,10,9.6981,35.56,0.06,4755000,4765000
410A,50,30.43,15,14.7,16.754,48.079,0.06,4755000,4765000
410A,50,30.43,15,21.5,26.645,61.38,0.06,4755000,4765000
410A,50,30.43,15,31.6,40.472,75.76,0.06,4755000,4765000
410A,50,30.43,15,46.4,55.499,89.038,0.06,4755000,4765000
410A,50,30.43,15,68.1,66.676,98.845,0.06,4755000,4765000
410A,50,30.43,15,100,60.332,103.38,0.06,4755000,4765000
410A,50,30.43,20,0.01,0.11473,0.018842,0.06,4755000,4765000
410A,50,30.43,20,0.0147,0.1352,0.066538,0.06,4755000,4765000
410A,50,30.43,20,0.0215,0.12616,0.1183,0.06,4755000,4765000
410A,50,30.43,20,0.0316,0.13452,0.15733,0.06,4755000,4765000
410A,50,30.43,20,0.0464,0.11426,0.22345,0.06,4755000,4765000
410A,50,30.43,20,0.0681,0.10676,0.36093,0.06,4755000,4765000
410A,50,30.43,20,0.1,0.12376,0.50905,0.06,4755000,4765000
410A,50,30.43,20,0.147,0.14111,0.7716,0.06,4755000,4765000
410A,50,30.43,20,0.215,0.18823,1.0694,0.06,4755000,4765000
410A,50,30.43,20,0.316,0.21582,1.5599,0.06,4755000,4765000
410A,50,30.43,20,0.464,0.24173,2.2143,0.06,4755000,4765000
410A,50,30.43,20,0.681,0.36797,3.2209,0.06,4755000,4765000
410A,50,30.43,20,1,0.47597,4.6133,0.06,4755000,4765000
410A,50,30.43,20,1.47,0.79752,6.676,0.06,4755000,4765000
410A,50,30.43,20,2.15,1.322,9.5224,0.06,4755000,4765000
410A,50,30.43,20,3.16,2.231,13.641,0.06,4755000,4765000
410A,50,30.43,20,4.64,3.6167,19.376,0.06,4755000,4765000
410A,50,30.43,20,6.81,6.284,27.139,0.06,4755000,4765000
410A,50,30.43,20,10,11.018,37.521,0.06,4755000,4765000
410A,50,30.43,20,14.7,18.798,50.398,0.06,4755000,4765000
410A,50,30.43,20,21.5,29.897,64.152,0.06,4755000,4765000
410A,50,30.43,20,31.6,44.842,78.948,0.06,4755000,4765000
410A,50,30.43,20,46.4,62.002,92.997,0.06,4755000,4765000
410A,50,30.43,20,68.1,77.291,104.57,0.06,4755000,4765000
410A,50,30.43,20,100,78.713,113.47,0.06,4755000,4765000
410A,50,30.43,25,0.01,0.12266,0.059021,0.06,4755000,4765000
410A,50,30.43,25,0.0147,0.31149,0.18344,0.06,4755000,4765000
410A,50,30.43,25,0.0215,0.17756,0.18849,0.06,4755000,4765000
410A,50,30.43,25,0.0316,0.20841,0.24412,0.06,4755000,4765000
410A,50,30.43,25,0.0464,0.26613,0.32786,0.06,4755000,4765000
410A,50,30.43,25,0.0681,0.2746,0.43323,0.06,4755000,4765000
410A,50,30.43,25,0.1,0.28858,0.62304,0.06,4755000,4765000
410A,50,30.43,25,0.147,0.31849,0.88793,0.06,4755000,4765000
410A,50,30.43,25,0.215,0.36043,1.2498,0.06,4755000,4765000
410A,50,30.43,25,0.316,0.44261,1.7911,0.06,4755000,4765000
410A,50,30.43,25,0.464,0.51211,2.5062,0.06,4755000,4765000
410A,50,30.43,25,0.681,0.66146,3.5824,0.06,4755000,4765000
410A,50,30.43,25,1,0.85618,5.0312,0.06,4755000,4765000
410A,50,30.43,25,1.47,1.1627,7.1995,0.06,4755000,4765000
410A,50,30.43,25,2.15,1.7298,10.226,0.06,4755000,4765000
410A,50,30.43,25,3.16,2.6467,14.383,0.06,4755000,4765000
410A,50,30.43,25,4.64,4.3186,20.365,0.06,4755000,4765000
410A,50,30.43,25,6.81,7.2339,28.349,0.06,4755000,4765000
410A,50,30.43,25,10,12.313,39.024,0.06,4755000,4765000
410A,50,30.43,25,14.7,20.235,52.065,0.06,4755000,4765000
410A,50,30.43,25,21.5,31.293,66.075,0.06,4755000,4765000
410A,50,30.43,25,31.6,45.875,80.525,0.06,4755000,4765000
410A,50,30.43,25,46.4,62.061,95.17,0.06,4755000,4765000
410A,50,30.43,25,68.1,74.72,102.33,0.06,4755000,4765000
410A,50,30.43,25,100,67.894,108.94,0.06,4755000,4765000
410A,50,30.43,30,0.01,0.15187,0.12652,0.06,4755000,4765000
410A,50,30.43,30,0.0147,0.13337,0.13755,0.06,4755000,4765000
410A,50,30.43,30,0.0215,0.16019,0.16921,0.06,4755000,4765000
410A,50,30.43,30,0.0316,0.1953,0.20276,0.06,4755000,4765000
410A,50,30.43,30,0.0464,0.14953,0.3472,0.06,4755000,4765000
410A,50,30.43,30,0.0681,0.23381,0.50934,0.06,4755000,4765000
410A,50,30.43,30,0.1,0.26147,0.69446,0.06,4755000,4765000
410A,50,30.43,30,0.147,0.26605,0.96989,0.06,4755000,4765000
410A,50,30.43,30,0.215,0.32874,1.3631,0.06,4755000,4765000
410A,50,30.43,30,0.316,0.38251,1.9133,0.06,4755000,4765000
410A,50,30.43,30,0.464,0.49268,2.6498,0.06,4755000,4765000
410A,50,30.43,30,0.681,0.62072,3.7633,0.06,4755000,4765000
410A,50,30.43,30,1,0.88333,5.2925,0.06,4755000,4765000
410A,50,30.43,30,1.47,1.2238,7.502,0.06,4755000,4765000
410A,50,30.43,30,2.15,1.8236,10.573,0.06,4755000,4765000
410A,50,30.43,30,3.16,2.8845,14.978,0.06,4755000,4765000
410A,50,30.43,30,4.64,4.5711,20.923,0.06,4755000,4765000
410A,50,30.43,30,6.81,7.6768,29.052,0.06,4755000,4765000
410A,50,30.43,30,10,12.757,39.633,0.06,4755000,4765000
410A,50,30.43,30,14.7,20.75,52.756,0.06,4755000,4765000
410A,50,30.43,30,21.5,31.639,66.416,0.06,4755000,4765000
410A,50,30.43,30,31.6,45.974,80.944,0.06,4755000,4765000
410A,50,30.43,30,46.4,60.873,94.065,0.06,4755000,4765000
410A,50,30.43,30,68.1,69.469,103.73,0.06,4755000,4765000
410A,50,30.43,30,100,59.405,104.95,0.06,4755000,4765000
410A,50,30.43,35,0.01,0.50986,0.11943,0.06,4755000,4765000
410A,50,30.43,35,0.0147,1.82E-05,0.36411,0.06,4755000,4765000
410A,50,30.43,35,0.0215,0.079205,0.081203,0.06,4755000,4765000
410A,50,30.43,35,0.0316,0.11562,0.24591,0.06,4755000,4765000
410A,50,30.43,35,0.0464,0.12088,0.39375,0.06,4755000,4765000
410A,50,30.43,35,0.0681,0.19416,0.54384,0.06,4755000,4765000
410A,50,30.43,35,0.1,0.20568,0.74596,0.06,4755000,4765000
410A,50,30.43,35,0.147,0.26443,1.0313,0.06,4755000,4765000
410A,50,30.43,35,0.215,0.31209,1.4397,0.06,4755000,4765000
410A,50,30.43,35,0.316,0.3919,1.9464,0.06,4755000,4765000
410A,50,30.43,35,0.464,0.51474,2.6839,0.06,4755000,4765000
410A,50,30.43,35,0.681,0.69133,3.7907,0.06,4755000,4765000
410A,50,30.43,35,1,0.91886,5.2709,0.06,4755000,4765000
410A,50,30.43,35,1.47,1.3405,7.4107,0.06,4755000,4765000
410A,50,30.43,35,2.15,1.9513,10.483,0.06,4755000,4765000
410A,50,30.43,35,3.16,2.993,14.752,0.06,4755000,4765000
410A,50,30.43,35,4.64,4.8544,20.437,0.06,4755000,4765000
410A,50,30.43,35,6.81,7.7994,28.184,0.06,4755000,4765000
410A,50,30.43,35,10,12.673,38.339,0.06,4755000,4765000
410A,50,30.43,35,14.7,20.396,50.89,0.06,4755000,4765000
410A,50,30.43,35,21.5,30.528,64.033,0.06,4755000,4765000
410A,50,30.43,35,31.6,43.887,78.075,0.06,4755000,4765000
410A,50,30.43,35,46.4,57.071,90.876,0.06,4755000,4765000
410A,50,30.43,35,68.1,64.115,100.45,0.06,4755000,4765000
410A,50,30.43,35,100,49.464,99.993,0.06,4755000,4765000
410B,50,27.51,15,0.01,0.089939,0.0010698,0.06,3784000,3782000
410B,50,27.51,15,0.0147,0.14355,0.087274,0.06,3784000,3782000
410B,50,27.51,15,0.0215,0.036294,0.13037,0.06,3784000,3782000
410B,50,27.51,15,0.0316,1.69E-06,0.033795,0.06,3784000,3782000
410B,50,27.51,15,0.0464,0.074279,0.090571,0.06,3784000,3782000
410B,50,27.51,15,0.0681,3.49E-06,0.06983,0.06,3784000,3782000
410B,50,27.51,15,0.1,0.022752,0.12621,0.06,3784000,3782000
410B,50,27.51,15,0.147,0.0067873,0.20015,0.06,3784000,3782000
410B,50,27.51,15,0.215,0.040096,0.29291,0.06,3784000,3782000
410B,50,27.51,15,0.316,0.029446,0.40831,0.06,3784000,3782000
410B,50,27.51,15,0.464,0.059834,0.58113,0.06,3784000,3782000
410B,50,27.51,15,0.681,0.053207,0.89025,0.06,3784000,3782000
410B,50,27.51,15,1,0.015718,1.3127,0.06,3784000,3782000
410B,50,27.51,15,1.47,0.078873,1.9025,0.06,3784000,3782000
410B,50,27.51,15,2.15,0.13382,2.7885,0.06,3784000,3782000
410B,50,27.51,15,3.16,0.30731,4.1567,0.06,3784000,3782000
410B,50,27.51,15,4.64,0.53519,5.9576,0.06,3784000,3782000
410B,50,27.51,15,6.81,1.0695,8.6179,0.06,3784000,3782000
410B,50,27.51,15,10,2.1118,12.388,0.06,3784000,3782000
410B,50,27.51,15,14.7,4.0707,17.65,0.06,3784000,3782000
410B,50,27.51,15,21.5,7.5389,24.733,0.06,3784000,3782000
410B,50,27.51,15,31.6,12.153,31.295,0.06,3784000,3782000
410B,50,27.51,15,46.4,19.983,39.777,0.06,3784000,3782000
410B,50,27.51,15,68.1,30.27,48.668,0.06,3784000,3782000
410B,50,27.51,15,100,42.112,54.529,0.06,3784000,3782000
410B,50,27.51,20,0.01,0.018075,0.013476,0.06,3784000,3782000
410B,50,27.51,20,0.0147,0.015648,0.0026791,0.06,3784000,3782000
410B,50,27.51,20,0.0215,0.028323,0.040306,0.06,3784000,3782000
410B,50,27.51,20,0.0316,0.034348,0.057176,0.06,3784000,3782000
410B,50,27.51,20,0.0464,0.0615,0.083687,0.06,3784000,3782000
410B,50,27.51,20,0.0681,0.020439,0.089881,0.06,3784000,3782000
410B,50,27.51,20,0.1,0.037878,0.12082,0.06,3784000,3782000
410B,50,27.51,20,0.147,0.036737,0.19551,0.06,3784000,3782000
410B,50,27.51,20,0.215,0.0053903,0.30261,0.06,3784000,3782000
410B,50,27.51,20,0.316,0.031815,0.41872,0.06,3784000,3782000
410B,50,27.51,20,0.464,0.03877,0.64351,0.06,3784000,3782000
410B,50,27.51,20,0.681,0.028829,0.95796,0.06,3784000,3782000
410B,50,27.51,20,1,0.036508,1.4242,0.06,3784000,3782000
410B,50,27.51,20,1.47,0.086426,2.0833,0.06,3784000,3782000
410B,50,27.51,20,2.15,0.10362,3.0298,0.06,3784000,3782000
410B,50,27.51,20,3.16,0.2119,4.4622,0.06,3784000,3782000
410B,50,27.51,20,4.64,0.47019,6.4665,0.06,3784000,3782000
410B,50,27.51,20,6.81,0.91973,9.3913,0.06,3784000,3782000
410B,50,27.51,20,10,1.789,13.435,0.06,3784000,3782000
410B,50,27.51,20,14.7,3.233,19.05,0.06,3784000,3782000
410B,50,27.51,20,21.5,5.3413,26.434,0.06,3784000,3782000
410B,50,27.51,20,31.6,7.0315,33.323,0.06,3784000,3782000
410B,50,27.51,20,46.4,7.71,42.161,0.06,3784000,3782000
410B,50,27.51,20,68.1,1.8821,51.236,0.06,3784000,3782000
410B,50,27.51,20,100,0.0029037,58.074,0.06,3784000,3782000
410B,50,27.51,25,0.01,0.093211,0.0014734,0.06,3784000,3782000
410B,50,27.51,25,0.0147,0.034291,0.0035201,0.06,3784000,3782000
410B,50,27.51,25,0.0215,0.043612,0.0603,0.06,3784000,3782000
410B,50,27.51,25,0.0316,0.018522,0.074198,0.06,3784000,3782000
410B,50,27.51,25,0.0464,0.055072,0.069991,0.06,3784000,3782000
410B,50,27.51,25,0.0681,0.016436,0.10695,0.06,3784000,3782000
410B,50,27.51,25,0.1,0.042393,0.16112,0.06,3784000,3782000
410B,50,27.51,25,0.147,0.046194,0.24033,0.06,3784000,3782000
410B,50,27.51,25,0.215,0.022885,0.35403,0.06,3784000,3782000
410B,50,27.51,25,0.316,0.026756,0.50603,0.06,3784000,3782000
410B,50,27.51,25,0.464,0.061879,0.75973,0.06,3784000,3782000
410B,50,27.51,25,0.681,0.047668,1.1186,0.06,3784000,3782000
410B,50,27.51,25,1,0.1255,1.6059,0.06,3784000,3782000
410B,50,27.51,25,1.47,0.12382,2.3077,0.06,3784000,3782000
410B,50,27.51,25,2.15,0.20273,3.4274,0.06,3784000,3782000
410B,50,27.51,25,3.16,0.41719,5.035,0.06,3784000,3782000
410B,50,27.51,25,4.64,0.81377,7.3347,0.06,3784000,3782000
410B,50,27.51,25,6.81,1.6119,10.51,0.06,3784000,3782000
410B,50,27.51,25,10,3.2106,14.991,0.06,3784000,3782000
410B,50,27.51,25,14.7,5.8584,21.042,0.06,3784000,3782000
410B,50,27.51,25,21.5,10.479,28.862,0.06,3784000,3782000
410B,50,27.51,25,31.6,17.113,36.31,0.06,3784000,3782000
410B,50,27.51,25,46.4,27.132,45.738,0.06,3784000,3782000
410B,50,27.51,25,68.1,41.827,55.676,0.06,3784000,3782000
410B,50,27.51,25,100,60.803,63.076,0.06,3784000,3782000
410B,50,27.51,30,0.01,1.65E-06,0.032952,0.06,3784000,3782000
410B,50,27.51,30,0.0147,1.31E-06,0.026133,0.06,3784000,3782000
410B,50,27.51,30,0.0215,2.53E-06,0.050526,0.06,3784000,3782000
410B,50,27.51,30,0.0316,4.62E-06,0.092491,0.06,3784000,3782000
410B,50,27.51,30,0.0464,0.0081329,0.1032,0.06,3784000,3782000
410B,50,27.51,30,0.0681,0.0036923,0.132,0.06,3784000,3782000
410B,50,27.51,30,0.1,1.03E-05,0.20568,0.06,3784000,3782000
410B,50,27.51,30,0.147,0.0054409,0.26287,0.06,3784000,3782000
410B,50,27.51,30,0.215,2.09E-05,0.41854,0.06,3784000,3782000
410B,50,27.51,30,0.316,3.16E-05,0.63198,0.06,3784000,3782000
410B,50,27.51,30,0.464,0.015323,0.89422,0.06,3784000,3782000
410B,50,27.51,30,0.681,0.026437,1.308,0.06,3784000,3782000
410B,50,27.51,30,1,0.04365,1.8989,0.06,3784000,3782000
410B,50,27.51,30,1.47,0.12749,2.7666,0.06,3784000,3782000
410B,50,27.51,30,2.15,0.20664,4.0621,0.06,3784000,3782000
410B,50,27.51,30,3.16,0.49773,5.9684,0.06,3784000,3782000
410B,50,27.51,30,4.64,0.96855,8.4785,0.06,3784000,3782000
410B,50,27.51,30,6.81,1.9985,12.222,0.06,3784000,3782000
410B,50,27.51,30,10,3.7858,17.195,0.06,3784000,3782000
410B,50,27.51,30,14.7,6.4677,23.791,0.06,3784000,3782000
410B,50,27.51,30,21.5,10.897,32.242,0.06,3784000,3782000
410B,50,27.51,30,31.6,15.72,40.374,0.06,3784000,3782000
410B,50,27.51,30,46.4,23.181,50.187,0.06,3784000,3782000
410B,50,27.51,30,68.1,28.658,58.613,0.06,3784000,3782000
410B,50,27.51,30,100,28.448,63.766,0.06,3784000,3782000
410B,50,27.51,35,0.01,0.73677,0.5352,0.06,3784000,3782000
410B,50,27.51,35,0.0147,0.22261,0.24182,0.06,3784000,3782000
410B,50,27.51,35,0.0215,1.08E-05,0.21622,0.06,3784000,3782000
410B,50,27.51,35,0.0316,8.10E-06,0.16191,0.06,3784000,3782000
410B,50,27.51,35,0.0464,0.0029325,0.1076,0.06,3784000,3782000
410B,50,27.51,35,0.0681,7.58E-06,0.15151,0.06,3784000,3782000
410B,50,27.51,35,0.1,1.15E-05,0.23031,0.06,3784000,3782000
410B,50,27.51,35,0.147,1.69E-05,0.33736,0.06,3784000,3782000
410B,50,27.51,35,0.215,2.46E-05,0.49141,0.06,3784000,3782000
410B,50,27.51,35,0.316,3.70E-05,0.73925,0.06,3784000,3782000
410B,50,27.51,35,0.464,0.037081,1.0826,0.06,3784000,3782000
410B,50,27.51,35,0.681,0.043773,1.5697,0.06,3784000,3782000
410B,50,27.51,35,1,0.064956,2.3092,0.06,3784000,3782000
410B,50,27.51,35,1.47,0.18735,3.3649,0.06,3784000,3782000
410B,50,27.51,35,2.15,0.43919,4.8291,0.06,3784000,3782000
410B,50,27.51,35,3.16,0.77161,7.0365,0.06,3784000,3782000
410B,50,27.51,35,4.64,1.5779,10.043,0.06,3784000,3782000
410B,50,27.51,35,6.81,2.8569,14.204,0.06,3784000,3782000
410B,50,27.51,35,10,4.9956,19.745,0.06,3784000,3782000
410B,50,27.51,35,14.7,8.6246,26.869,0.06,3784000,3782000
410B,50,27.51,35,21.5,13.898,35.995,0.06,3784000,3782000
410B,50,27.51,35,31.6,20.372,44.78,0.06,3784000,3782000
410B,50,27.51,35,46.4,29.446,54.768,0.06,3784000,3782000
410B,50,27.51,35,68.1,39.645,64.777,0.06,3784000,3782000
410B,50,27.51,35,100,43.76,70.912,0.06,3784000,3782000
410C,50,33.54,15,0.01,11.261,31.388,0.06,5929000,5879000
410C,50,33.54,15,0.0147,19.99,41.631,0.06,5929000,5879000
410C,50,33.54,15,0.0215,31.126,52.006,0.06,5929000,5879000
410C,50,33.54,15,0.0316,45.793,62.18,0.06,5929000,5879000
410C,50,33.54,15,0.0464,63.967,71.353,0.06,5929000,5879000
410C,50,33.54,15,0.0681,84.753,78.506,0.06,5929000,5879000
410C,50,33.54,15,0.1,107.61,83.588,0.06,5929000,5879000
410C,50,33.54,15,0.147,131.22,85.962,0.06,5929000,5879000
410C,50,33.54,15,0.215,154.8,86.021,0.06,5929000,5879000
410C,50,33.54,15,0.316,177.55,84.188,0.06,5929000,5879000
410C,50,33.54,15,0.464,199.06,80.896,0.06,5929000,5879000
410C,50,33.54,15,0.681,219.59,76.924,0.06,5929000,5879000
410C,50,33.54,15,1,238.32,72.557,0.06,5929000,5879000
410C,50,33.54,15,1.47,255.05,68.036,0.06,5929000,5879000
410C,50,33.54,15,2.15,270.38,63.898,0.06,5929000,5879000
410C,50,33.54,15,3.16,284.45,60.442,0.06,5929000,5879000
410C,50,33.54,15,4.64,297.55,57.693,0.06,5929000,5879000
410C,50,33.54,15,6.81,310,55.993,0.06,5929000,5879000
410C,50,33.54,15,10,322,55.212,0.06,5929000,5879000
410C,50,33.54,15,14.7,333.71,55.718,0.06,5929000,5879000
410C,50,33.54,15,21.5,345.26,57.707,0.06,5929000,5879000
410C,50,33.54,15,31.6,355.58,59.063,0.06,5929000,5879000
410C,50,33.54,15,46.4,365.47,62.107,0.06,5929000,5879000
410C,50,33.54,15,68.1,372.4,65.234,0.06,5929000,5879000
410C,50,33.54,15,100,366.93,67.02,0.06,5929000,5879000
410C,50,33.54,20,0.01,20.875,43.351,0.06,5929000,5879000
410C,50,33.54,20,0.0147,33.3,54.651,0.06,5929000,5879000
410C,50,33.54,20,0.0215,49.051,64.937,0.06,5929000,5879000
410C,50,33.54,20,0.0316,67.884,74.287,0.06,5929000,5879000
410C,50,33.54,20,0.0464,89.674,81.679,0.06,5929000,5879000
410C,50,33.54,20,0.0681,113.02,86.459,0.06,5929000,5879000
410C,50,33.54,20,0.1,137.42,88.632,0.06,5929000,5879000
410C,50,33.54,20,0.147,161.99,88.692,0.06,5929000,5879000
410C,50,33.54,20,0.215,185.38,86.553,0.06,5929000,5879000
410C,50,33.54,20,0.316,207.43,82.997,0.06,5929000,5879000
410C,50,33.54,20,0.464,227.9,78.516,0.06,5929000,5879000
410C,50,33.54,20,0.681,246.61,73.585,0.06,5929000,5879000
410C,50,33.54,20,1,263.64,68.692,0.06,5929000,5879000
410C,50,33.54,20,1.47,279.2,64.06,0.06,5929000,5879000
410C,50,33.54,20,2.15,293.43,59.984,0.06,5929000,5879000
410C,50,33.54,20,3.16,306.52,56.599,0.06,5929000,5879000
410C,50,33.54,20,4.64,318.73,54.027,0.06,5929000,5879000
410C,50,33.54,20,6.81,330.35,52.358,0.06,5929000,5879000
410C,50,33.54,20,10,341.62,51.715,0.06,5929000,5879000
410C,50,33.54,20,14.7,352.81,52.215,0.06,5929000,5879000
410C,50,33.54,20,21.5,364.26,53.996,0.06,5929000,5879000
410C,50,33.54,20,31.6,374.93,55.283,0.06,5929000,5879000
410C,50,33.54,20,46.4,386.74,58.043,0.06,5929000,5879000
410C,50,33.54,20,68.1,397.64,61.581,0.06,5929000,5879000
410C,50,33.54,20,100,405.25,61.639,0.06,5929000,5879000
410C,50,33.54,25,0.01,31.643,54.154,0.06,5929000,5879000
410C,50,33.54,25,0.0147,47.81,65.433,0.06,5929000,5879000
410C,50,33.54,25,0.0215,66.896,74.906,0.06,5929000,5879000
410C,50,33.54,25,0.0316,88.545,82.809,0.06,5929000,5879000
410C,50,33.54,25,0.0464,112.35,88.007,0.06,5929000,5879000
410C,50,33.54,25,0.0681,136.98,90.653,0.06,5929000,5879000
410C,50,33.54,25,0.1,161.64,90.764,0.06,5929000,5879000
410C,50,33.54,25,0.147,186.11,88.973,0.06,5929000,5879000
410C,50,33.54,25,0.215,208.84,85.301,0.06,5929000,5879000
410C,50,33.54,25,0.316,230.01,80.702,0.06,5929000,5879000
410C,50,33.54,25,0.464,249.13,75.549,0.06,5929000,5879000
410C,50,33.54,25,0.681,266.8,70.264,0.06,5929000,5879000
410C,50,33.54,25,1,282.71,65.12,0.06,5929000,5879000
410C,50,33.54,25,1.47,297.08,60.331,0.06,5929000,5879000
410C,50,33.54,25,2.15,310.34,56.369,0.06,5929000,5879000
410C,50,33.54,25,3.16,322.57,52.992,0.06,5929000,5879000
410C,50,33.54,25,4.64,333.87,50.488,0.06,5929000,5879000
410C,50,33.54,25,6.81,344.67,48.72,0.06,5929000,5879000
410C,50,33.54,25,10,355.19,48.043,0.06,5929000,5879000
410C,50,33.54,25,14.7,365.51,48.398,0.06,5929000,5879000
410C,50,33.54,25,21.5,376.01,50.115,0.06,5929000,5879000
410C,50,33.54,25,31.6,385.8,51.125,0.06,5929000,5879000
410C,50,33.54,25,46.4,396.38,53.622,0.06,5929000,5879000
410C,50,33.54,25,68.1,406.43,55.563,0.06,5929000,5879000
410C,50,33.54,25,100,411.33,56.666,0.06,5929000,5879000
410C,50,33.54,30,0.01,40.086,62.791,0.06,5929000,5879000
410C,50,33.54,30,0.0147,58.797,72.034,0.06,5929000,5879000
410C,50,33.54,30,0.0215,78.715,80.467,0.06,5929000,5879000
410C,50,33.54,30,0.0316,100.79,86.747,0.06,5929000,5879000
410C,50,33.54,30,0.0464,124.6,90.459,0.06,5929000,5879000
410C,50,33.54,30,0.0681,149.33,91.689,0.06,5929000,5879000
410C,50,33.54,30,0.1,173.69,90.737,0.06,5929000,5879000
410C,50,33.54,30,0.147,196.76,87.53,0.06,5929000,5879000
410C,50,33.54,30,0.215,218.37,83.444,0.06,5929000,5879000
410C,50,33.54,30,0.316,239.22,78.435,0.06,5929000,5879000
410C,50,33.54,30,0.464,257.48,73.119,0.06,5929000,5879000
410C,50,33.54,30,0.681,274.07,67.487,0.06,5929000,5879000
410C,50,33.54,30,1,289.05,62.176,0.06,5929000,5879000
410C,50,33.54,30,1.47,302.68,57.326,0.06,5929000,5879000
410C,50,33.54,30,2.15,315.1,53.219,0.06,5929000,5879000
410C,50,33.54,30,3.16,326.48,49.797,0.06,5929000,5879000
410C,50,33.54,30,4.64,336.99,47.139,0.06,5929000,5879000
410C,50,33.54,30,6.81,347.03,45.365,0.06,5929000,5879000
410C,50,33.54,30,10,356.65,44.391,0.06,5929000,5879000
410C,50,33.54,30,14.7,366.11,44.429,0.06,5929000,5879000
410C,50,33.54,30,21.5,375.39,45.754,0.06,5929000,5879000
410C,50,33.54,30,31.6,383.64,46.281,0.06,5929000,5879000
410C,50,33.54,30,46.4,391.92,48.237,0.06,5929000,5879000
410C,50,33.54,30,68.1,398.84,50.47,0.06,5929000,5879000
410C,50,33.54,30,100,397.47,48.68,0.06,5929000,5879000
410C,50,33.54,35,0.01,43.053,62.836,0.06,5929000,5879000
410C,50,33.54,35,0.0147,56.889,70.376,0.06,5929000,5879000
410C,50,33.54,35,0.0215,73.25,76.945,0.06,5929000,5879000
410C,50,33.54,35,0.0316,91.758,82.595,0.06,5929000,5879000
410C,50,33.54,35,0.0464,112.7,86.525,0.06,5929000,5879000
410C,50,33.54,35,0.0681,134.46,88.5,0.06,5929000,5879000
410C,50,33.54,35,0.1,156.8,88.513,0.06,5929000,5879000
410C,50,33.54,35,0.147,179.01,86.773,0.06,5929000,5879000
410C,50,33.54,35,0.215,199.74,83.055,0.06,5929000,5879000
410C,50,33.54,35,0.316,220.05,78.531,0.06,5929000,5879000
410C,50,33.54,35,0.464,238.53,73.946,0.06,5929000,5879000
410C,50,33.54,35,0.681,255.16,68.719,0.06,5929000,5879000
410C,50,33.54,35,1,270.75,62.987,0.06,5929000,5879000
410C,50,33.54,35,1.47,284.55,57.951,0.06,5929000,5879000
410C,50,33.54,35,2.15,297.22,53.419,0.06,5929000,5879000
410C,50,33.54,35,3.16,308.59,49.512,0.06,5929000,5879000
410C,50,33.54,35,4.64,319.01,46.372,0.06,5929000,5879000
410C,50,33.54,35,6.81,328.91,43.872,0.06,5929000,5879000
410C,50,33.54,35,10,338.1,42.366,0.06,5929000,5879000
410C,50,33.54,35,14.7,347.02,41.769,0.06,5929000,5879000
410C,50,33.54,35,21.5,355.69,42.335,0.06,5929000,5879000
410C,50,33.54,35,31.6,363.22,42.066,0.06,5929000,5879000
410C,50,33.54,35,46.4,370.76,43.094,0.06,5929000,5879000
410C,50,33.54,35,68.1,376.42,43.023,0.06,5929000,5879000
410C,50,33.54,35,100,376.52,40.257,0.06,5929000,5879000
414A,75,21.69,15,0.01,0.10231,0.19894,0.06,3313000,3330000
414A,75,21.69,15,0.0147,0.33806,0.56516,0.06,3313000,3330000
414A,75,21.69,15,0.0215,0.53451,0.888,0.06,3313000,3330000
414A,75,21.69,15,0.0316,0.74288,1.1864,0.06,3313000,3330000
414A,75,21.69,15,0.0464,0.98575,1.4631,0.06,3313000,3330000
414A,75,21.69,15,0.0681,1.2313,1.6832,0.06,3313000,3330000
414A,75,21.69,15,0.1,1.4106,2.0107,0.06,3313000,3330000
414A,75,21.69,15,0.147,1.7466,2.2132,0.06,3313000,3330000
414A,75,21.69,15,0.215,2.0033,2.5554,0.06,3313000,3330000
