Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409A,30,22.2,30,0.147,1.05E-06,0.020904,0.06,1396000,1389000
409A,30,22.2,30,0.215,0.01872,0.047295,0.06,1396000,1389000
409A,30,22.2,30,0.316,0.038068,0.058897,0.06,1396000,1389000
409A,30,22.2,30,0.464,0.0021405,0.11484,0.06,1396000,1389000
409A,30,22.2,30,0.681,0.068961,0.126,0.06,1396000,1389000
409A,30,22.2,30,1,0.057212,0.15143,0.06,1396000,1389000
409A,30,22.2,30,1.47,0.061809,0.20317,0.06,1396000,1389000
409A,30,22.2,30,2.15,0.074067,0.28341,0.06,1396000,1389000
409A,30,22.2,30,3.16,0.07478,0.35285,0.06,1396000,1389000
409A,30,22.2,30,4.64,0.0080137,0.44094,0.06,1396000,1389000
409A,30,22.2,30,6.81,0.030719,0.68675,0.06,1396000,1389000
409A,30,22.2,30,10,4.94E-05,0.98885,0.06,1396000,1389000
409A,30,22.2,30,14.7,9.18E-05,1.8369,0.06,1396000,1389000
409A,30,22.2,30,21.5,0.00012019,2.4038,0.06,1396000,1389000
409A,30,22.2,30,31.6,0.00024277,4.8555,0.06,1396000,1389000
409A,30,22.2,30,46.4,0.00051018,10.204,0.06,1396000,1389000
409A,30,22.2,30,68.1,0.0011465,22.931,0.06,1396000,1389000
409A,30,22.2,30,100,0.002711,54.22,0.06,1396000,1389000
409A,30,22.2,35,0.01,0.051994,0.012124,0.06,1396000,1389000
409A,30,22.2,35,0.0147,0.072295,0.0029682,0.06,1396000,1389000
409A,30,22.2,35,0.0215,0.063905,0.028219,0.06,1396000,1389000
409A,30,22.2,35,0.0316,0.075581,0.042712,0.06,1396000,1389000
409A,30,22.2,35,0.0464,0.097506,0.038614,0.06,1396000,1389000
409A,30,22.2,35,0.0681,0.082287,0.06417,0.06,1396000,1389000
409A,30,22.2,35,0.1,0.10562,0.090055,0.06,1396000,1389000
409A,30,22.2,35,0.147,0.096385,0.094031,0.06,1396000,1389000
409A,30,22.2,35,0.215,0.16144,0.070568,0.06,1396000,1389000
409A,30,22.2,35,0.316,0.11505,0.1001,0.06,1396000,1389000
409A,30,22.2,35,0.464,0.11532,0.11897,0.06,1396000,1389000
409A,30,22.2,35,0.681,0.14811,0.15742,0.06,1396000,1389000
409A,30,22.2,35,1,0.15372,0.21306,0.06,1396000,1389000
409A,30,22.2,35,1.47,0.17864,0.23641,0.06,1396000,1389000
409A,30,22.2,35,2.15,0.22106,0.33753,0.06,1396000,1389000
409A,30,22.2,35,3.16,0.31579,0.43325,0.06,1396000,1389000
409A,30,22.2,35,4.64,0.36438,0.64046,0.06,1396000,1389000
409A,30,22.2,35,6.81,0.46553,0.81278,0.06,1396000,1389000
409A,30,22.2,35,10,0.62918,1.1909,0.06,1396000,1389000
409A,30,22.2,35,14.7,1.0061,1.8918,0.06,1396000,1389000
409A,30,22.2,35,21.5,0.84838,1.6753,0.06,1396000,1389000
409A,30,22.2,35,31.6,1.1946,1.9413,0.06,1396000,1389000
409A,30,22.2,35,46.4,1.94,2.6939,0.06,1396000,1389000
409A,30,22.2,35,68.1,3.4921,3.1702,0.06,1396000,1389000
409A,30,22.2,35,100,1.7299,3.7465,0.06,1396000,1389000
409B,30,26.28,15,0.01,1.87E-06,0.037485,0.06,2047000,1389000
409B,30,26.28,15,0.0147,0.059264,0.01518,0.06,2047000,1389000
409B,30,26.28,15,0.0215,0.039788,0.04382,0.06,2047000,1389000
409B,30,26.28,15,0.0316,0.037691,0.064765,0.06,2047000,1389000
409B,30,26.28,15,0.0464,0.0026468,0.00026915,0.06,2047000,1389000
409B,30,26.28,15,0.0681,0.047456,0.061799,0.06,2047000,1389000
409B,30,26.28,15,0.1,0.024835,0.10245,0.06,2047000,1389000
409B,30,26.28,15,0.147,0.078565,0.15581,0.06,2047000,1389000
409B,30,26.28,15,0.215,0.010076,0.22102,0.06,2047000,1389000
409B,30,26.28,15,0.316,0.041652,0.31085,0.06,2047000,1389000
409B,30,26.28,15,0.464,0.070504,0.4801,0.06,2047000,1389000
409B,30,26.28,15,0.681,0.078395,0.69718,0.06,2047000,1389000
409B,30,26.28,15,1,0.049866,1.0188,0.06,2047000,1389000
409B,30,26.28,15,1.47,0.061495,1.4873,0.06,2047000,1389000
409B,30,26.28,15,2.15,0.099345,2.1507,0.06,2047000,1389000
409B,30,26.28,15,3.16,0.16999,3.1779,0.06,2047000,1389000
409B,30,26.28,15,4.64,0.16038,4.5745,0.06,2047000,1389000
409B,30,26.28,15,6.81,0.2869,6.7503,0.06,2047000,1389000
409B,30,26.28,15,10,0.41156,9.9648,0.06,2047000,1389000
409B,30,26.28,15,14.7,0.68664,14.719,0.06,2047000,1389000
409B,30,26.28,15,21.5,1.4128,22.091,0.06,2047000,1389000
409B,30,26.28,15,31.6,1.2923,29.638,0.06,2047000,1389000
409B,30,26.28,15,46.4,2.0014,41.83,0.06,2047000,1389000
409B,30,26.28,15,68.1,2.3498,56.244,0.06,2047000,1389000
409B,30,26.28,15,100,0.003669,73.379,0.06,2047000,1389000
409B,30,26.28,20,0.01,4.83E-06,0.096576,0.06,2047000,1389000
409B,30,26.28,20,0.0147,0.018855,0.040511,0.06,2047000,1389000
409B,30,26.28,20,0.0215,0.081886,0.020872,0.06,2047000,1389000
409B,30,26.28,20,0.0316,0.068241,0.030331,0.06,2047000,1389000
409B,30,26.28,20,0.0464,0.064324,0.039585,0.06,2047000,1389000
409B,30,26.28,20,0.0681,0.061634,0.06199,0.06,2047000,1389000
409B,30,26.28,20,0.1,0.049547,0.1258,0.06,2047000,1389000
409B,30,26.28,20,0.147,0.076543,0.17161,0.06,2047000,1389000
409B,30,26.28,20,0.215,0.05494,0.2589,0.06,2047000,1389000
409B,30,26.28,20,0.316,0.058904,0.33034,0.06,2047000,1389000
409B,30,26.28,20,0.464,0.060464,0.49543,0.06,2047000,1389000
409B,30,26.28,20,0.681,0.087529,0.75729,0.06,2047000,1389000
409B,30,26.28,20,1,0.079211,1.1046,0.06,2047000,1389000
409B,30,26.28,20,1.47,0.10439,1.5356,0.06,2047000,1389000
409B,30,26.28,20,2.15,0.11165,2.2637,0.06,2047000,1389000
409B,30,26.28,20,3.16,0.15508,3.3213,0.06,2047000,1389000
409B,30,26.28,20,4.64,0.14356,4.9524,0.06,2047000,1389000
409B,30,26.28,20,6.81,0.19849,7.1425,0.06,2047000,1389000
409B,30,26.28,20,10,0.25171,10.465,0.06,2047000,1389000
409B,30,26.28,20,14.7,0.23486,15.377,0.06,2047000,1389000
409B,30,26.28,20,21.5,0.59134,22.916,0.06,2047000,1389000
409B,30,26.28,20,31.6,0.0015648,31.296,0.06,2047000,1389000
409B,30,26.28,20,46.4,0.0022199,44.397,0.06,2047000,1389000
409B,30,26.28,20,68.1,0.0031071,62.141,0.06,2047000,1389000
409B,30,26.28,20,100,0.0042346,84.693,0.06,2047000,1389000
409B,30,26.28,25,0.01,0.036146,0.06714,0.06,2047000,1389000
409B,30,26.28,25,0.0147,0.065308,0.055406,0.06,2047000,1389000
409B,30,26.28,25,0.0215,4.26E-06,0.085261,0.06,2047000,1389000
409B,30,26.28,25,0.0316,0.03559,0.048784,0.06,2047000,1389000
409B,30,26.28,25,0.0464,0.045473,0.049017,0.06,2047000,1389000
409B,30,26.28,25,0.0681,0.05106,0.05065,0.06,2047000,1389000
409B,30,26.28,25,0.1,0.0055407,0.098655,0.06,2047000,1389000
409B,30,26.28,25,0.147,0.034608,0.16484,0.06,2047000,1389000
409B,30,26.28,25,0.215,0.0052709,0.231,0.06,2047000,1389000
409B,30,26.28,25,0.316,0.062529,0.3503,0.06,2047000,1389000
409B,30,26.28,25,0.464,0.021592,0.52783,0.06,2047000,1389000
409B,30,26.28,25,0.681,0.050946,0.71895,0.06,2047000,1389000
409B,30,26.28,25,1,0.090817,1.0694,0.06,2047000,1389000
409B,30,26.28,25,1.47,0.047135,1.5788,0.06,2047000,1389000
409B,30,26.28,25,2.15,0.091363,2.3257,0.06,2047000,1389000
409B,30,26.28,25,3.16,0.10099,3.3561,0.06,2047000,1389000
409B,30,26.28,25,4.64,0.16016,4.9357,0.06,2047000,1389000
