Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,tan_delta,flag_suspicious,sample_weight
407A,100,15.86,35,46.4,0.00045136,9.0272,20000.0,True,0.01
407A,100,15.86,35,68.1,0.0010543,21.085,19999.051503367165,True,0.01
407A,100,15.86,35,100.0,0.0025553,51.106,20000.0,True,0.01
407B,100,23.39,15,0.01,0.12903,0.152,1.1780206153607686,False,1.0
407B,100,23.39,15,0.0147,0.095682,0.019208,0.2007483121172216,False,1.0
407B,100,23.39,15,0.0215,0.090108,0.035691,0.39609135703822085,False,1.0
407B,100,23.39,15,0.0316,0.058418,0.04,0.6847204628710329,False,1.0
407B,100,23.39,15,0.0464,0.080688,2.14e-05,0.0002652191156057902,False,1.0
407B,100,23.39,15,0.0681,0.070157,0.014506,0.2067648274584147,False,1.0
407B,100,23.39,15,0.1,0.081656,0.016982,0.2079700205741158,False,1.0
407B,100,23.39,15,0.147,0.056437,0.023555,0.41736803869801725,False,1.0
407B,100,23.39,15,0.215,0.066951,0.032346,0.4831294528834521,False,1.0
407B,100,23.39,15,0.316,0.072053,0.041704,0.5787961639348812,False,1.0
407B,100,23.39,15,0.464,0.082601,0.04736,0.5733586760450843,False,1.0
407B,100,23.39,15,0.681,0.086964,0.10498,1.207166183708201,False,1.0
407B,100,23.39,15,1.0,0.092545,0.16046,1.733859203630666,False,1.0
407B,100,23.39,15,1.47,0.068462,0.15204,2.220794017118986,False,1.0
407B,100,23.39,15,2.15,0.090118,0.2242,2.4878492642979206,False,1.0
407B,100,23.39,15,3.16,0.031243,0.30892,9.887654834682968,False,1.0
407B,100,23.39,15,4.64,0.018075,0.49791,27.54688796680498,False,1.0
407B,100,23.39,15,6.81,0.021542,0.69557,32.28901680438214,False,1.0
407B,100,23.39,15,10.0,5.52e-05,1.1045,20009.057971014492,True,0.01
407B,100,23.39,15,14.7,8.78e-05,1.7557,19996.58314350797,True,0.01
407B,100,23.39,15,21.5,0.00016005,3.201,20000.000000000004,True,0.01
407B,100,23.39,15,31.6,0.00025728,5.1456,20000.0,True,0.01
407B,100,23.39,15,46.4,0.0005453,10.906,20000.000000000004,True,0.01
407B,100,23.39,15,68.1,0.001218,24.361,20000.8210180624,True,0.01
407B,100,23.39,15,100.0,0.0027204,54.409,20000.36759300103,True,0.01
407B,100,23.39,20,0.01,2.8e-06,0.055976,19991.428571428572,True,0.01
407B,100,23.39,20,0.0147,5.32e-06,0.10646,20011.27819548872,True,0.01
407B,100,23.39,20,0.0215,0.074496,0.078039,1.0475596005154637,False,1.0
407B,100,23.39,20,0.0316,0.037338,0.01836,0.49172424875461995,False,1.0
407B,100,23.39,20,0.0464,0.039113,0.043876,1.121775368803211,False,1.0
407B,100,23.39,20,0.0681,0.12795,0.07731,0.6042203985932004,False,1.0
407B,100,23.39,20,0.1,0.11076,0.083195,0.7511285662694114,False,1.0
407B,100,23.39,20,0.147,0.14232,0.12782,0.8981169196177627,False,1.0
407B,100,23.39,20,0.215,0.14489,0.17126,1.1820001380357512,False,1.0
407B,100,23.39,20,0.316,0.17626,0.18994,1.077612617723817,False,1.0
407B,100,23.39,20,0.464,0.20851,0.2513,1.2052179751570669,False,1.0
407B,100,23.39,20,0.681,0.23413,0.31747,1.3559560927689744,False,1.0
407B,100,23.39,20,1.0,0.27841,0.41774,1.5004489781257857,False,1.0
407B,100,23.39,20,1.47,0.32171,0.54257,1.6865189145503714,False,1.0
407B,100,23.39,20,2.15,0.41808,0.71747,1.7161069651741294,False,1.0
407B,100,23.39,20,3.16,0.53215,0.92292,1.7343230292210843,False,1.0
407B,100,23.39,20,4.64,0.60061,1.2524,2.085213366410816,False,1.0
407B,100,23.39,20,6.81,0.65646,1.6054,2.445541236328184,False,1.0
407B,100,23.39,20,10.0,0.64419,2.1991,3.4137443921824304,False,1.0
407B,100,23.39,20,14.7,0.40957,3.1148,7.605049197939302,False,1.0
407B,100,23.39,20,21.5,0.00022902,4.5804,20000.0,True,0.01
407B,100,23.39,20,31.6,0.00026597,5.3194,20000.0,True,0.01
407B,100,23.39,20,46.4,0.00050393,10.079,20000.79376103824,True,0.01
407B,100,23.39,20,68.1,0.0010533,21.066,19999.999999999996,True,0.01
407B,100,23.39,20,100.0,0.002443,48.859,19999.590667212444,True,0.01
407B,100,23.39,25,0.01,0.37974,0.55282,1.4557855374730078,False,1.0
407B,100,23.39,25,0.0147,0.51802,0.61884,1.194625690127794,False,1.0
407B,100,23.39,25,0.0215,1.4546,1.2092,0.8312938264815071,False,1.0
407B,100,23.39,25,0.0316,2.2651,1.8283,0.8071608317513577,False,1.0
407B,100,23.39,25,0.0464,2.9249,2.3716,0.8108311395261376,False,1.0
407B,100,23.39,25,0.0681,3.6136,2.8474,0.7879676776621651,False,1.0
407B,100,23.39,25,0.1,4.3438,3.2997,0.7596344214742852,False,1.0
407B,100,23.39,25,0.147,4.9912,3.8656,0.7744830902388203,False,1.0
407B,100,23.39,25,0.215,5.7511,4.3888,0.7631235763593052,False,1.0
